Jenis Olahraga Untuk Berat Badan Underweight, Durasi, Kalori, Jenis Olahraga Untuk Berat Badan Normal, Durasi, Kalori,Jenis Olahraga Untuk Berat Badan Overweight, Durasi, Kalori, Jenis Olahraga Untuk Berat Badan Obesitas, Durasi, Kalori
Jalan kaki, 1 jam , 300 kalori, Sepeda statis, 1 jam, 400 kalori, Skip Rope, 1 jam, 800 kalori,  muaythai, 1 jam, 700 kalori
High Intesity Interval Training, 1 jam, 100 kalori, Tennis, 1 jam, 400 kalori, Marathon, 1 jam, 600 kalori, Gym, 1 jam, 900 kalori
Angkat Beban, 1 jam, 100 kalori, Plank, 1 jam, 600 kalori, Jogging, 1 jam, 800 kalori, Renang, 1 jam, 800 kalori
Pilates, 1 jam, 200 kalori, Burpee, 1 jam , 470 kalori, Crunches, 1 jam , 300 kalori, Sit up, 1 jam, 420 kalori
Kardiovaskular Ringan, 1 jam, 100 kalori, Memanah, 1 jam, 200 kalori, Futsal, 1 jam, 400 kalori, Bersepeda, 1 jam, 800 kalori,
Yoga, 1 jam, 200 kalori, Basket, 1 jam, 400 kalori, Aerobik, 1 jam, 600 kalori, Zumba, 1 jam, 600 kalori,
Tenis, 1 jam, 400 kalori, Aerobik tingkat tinggi, 1 jam, 800 kalori, Renang, 1 jam, 700 kalori, Skipping, 1 jam, 800 kalori
tenis meja, 1 jam, 300 kalori, Badminton, 1 jam, 400 kalori, Bersepeda, 1 jam, 700 kalori, Cardio, 1 jam, 600 kalori
voli, 1 jam, 400 kalori, taekwondo, 1 jam, 400 kalori, karate, 1 jam, 500 kalori, silat, 1 jam, 500 kalori
senam jazz, 1 jam, 350 kalori, panjat tebing, 1 jam, 600 kalori, sepatu roda, 1 jam, 400 kalori, polo air, 1 jam, 500 kalori
golf, 1 jam, 200 kalori, sepak takraw, 1 jam, 400 kalori, senam, 1 jam, 500 kalori, american football, 1 jam, 700 kalori
bowling, 1 jam, 250 kalori, berkuda, 1 jam, 400 kalori, baseball, 1 jam, 300 kalori, kasti, 1 jam, 400 kalori
